Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,Yes,22,40
Math_77,No,18,40
Closure_171,No,9,40
Closure_174,No,18,40
Closure_57,No,5,40
Lang_20,No,5,40
Closure_107,No,9,40
Csv_16,No,14,38
Chart_16,No,7,40
Closure_118,No,10,40
Codec_2,No,7,40
Math_70,No,13,40
Lang_27,No,10,40
Cli_33,No,12,40
Codec_15,No,18,40
Cli_26,No,15,40
Csv_11,No,11,40
Lang_34,No,14,40
Math_87,No,28,40
Closure_155,No,3,11
Csv_2,No,10,40
Lang_32,No,26,40
Lang_16,No,25,40
Closure_76,No,13,40
Lang_22,Yes,7,14
Math_76,No,28,40
Csv_7,No,11,32
Closure_167,No,22,40
Closure_56,No,14,40
Closure_165,No,12,40
Lang_8,No,10,40
Cli_28,No,23,40
Cli_3,No,14,40
Closure_98,No,14,40
Lang_40,No,10,40
Codec_11,No,21,40
Closure_31,Yes,1,10
Closure_7,No,14,40
Closure_80,No,9,40
Closure_27,No,13,40
Closure_47,No,7,21
Math_64,No,9,36
Closure_162,No,10,31
Closure_26,No,3,9
Closure_83,No,19,40
Closure_96,No,20,40
Cli_9,No,25,40
Closure_70,No,16,40
Closure_91,No,9,40
Closure_39,No,4,9
Closure_14,No,7,40
Closure_52,No,20,34
Closure_158,No,18,30
Lang_47,No,19,40
Cli_38,No,11,40
Lang_18,No,5,40
Closure_29,No,11,31
Closure_35,No,8,40
Closure_129,No,8,29
Math_63,No,13,40
Chart_11,Yes,1,8
Closure_120,No,4,18
Codec_6,No,8,40
Lang_1,No,17,40
Closure_36,No,17,40
Math_66,No,21,34
Csv_6,No,15,40
Closure_130,No,10,32
Codec_18,No,31,40
Closure_170,No,5,40
Closure_1,No,5,24
Cli_29,No,21,40
Chart_9,No,13,40
Math_61,No,6,40
Closure_38,No,13,40
Lang_49,No,8,40
Chart_21,No,19,40
Codec_8,No,26,40
Lang_21,Yes,3,8
Cli_12,No,13,40
Closure_16,No,10,40
Closure_78,No,20,40
Chart_8,No,15,40
Closure_79,No,14,40
Math_102,No,21,40
Closure_18,Yes,2,7
Closure_49,No,0,1
Math_59,Yes,3,9
Chart_14,No,5,24
Math_73,No,9,40
Math_51,No,7,16
Lang_35,No,16,40
Cli_39,No,3,21
Math_56,No,26,40
Closure_34,No,17,40
Closure_8,No,19,40
Closure_111,No,8,28
Closure_108,No,21,40
Cli_23,No,28,40
Math_91,No,21,40
Math_96,No,9,40
Closure_125,No,6,40
Math_62,No,24,36
Cli_1,No,23,36
Closure_144,No,0,1
Closure_163,No,0,3
Chart_23,No,8,40
Closure_116,No,17,40
Math_72,No,5,32
Closure_168,No,10,40
Chart_3,No,10,40
Closure_142,No,12,40
Chart_17,Yes,1,6
Closure_85,No,34,40
Lang_42,No,23,40
Closure_104,No,5,40
Lang_48,No,4,40
Csv_3,No,16,40
Closure_11,No,18,40
Closure_63,No,5,40
Closure_87,No,12,40
Lang_28,Yes,3,8
Closure_172,No,13,40
Math_90,No,14,40
Chart_12,No,9,40
Codec_17,Yes,5,20
Closure_62,Yes,2,7
Closure_143,No,34,40
Closure_72,No,4,40
Math_52,Yes,5,19
Closure_146,No,9,40
Math_67,No,10,40
Cli_24,No,14,40
Cli_13,No,10,40
Closure_50,No,5,34
Lang_46,No,27,40
Closure_60,No,7,29
Closure_95,No,8,40
Closure_161,No,13,36
Closure_122,No,8,40
Csv_13,No,17,36
Closure_115,No,15,40
Math_89,Yes,4,11
Closure_25,No,12,40
Closure_166,No,18,40
Codec_10,No,19,40
Cli_14,No,7,40
Closure_128,Yes,22,40
Closure_119,No,5,27
Cli_18,No,12,40
Closure_135,No,16,40
Closure_2,No,23,40
Closure_15,No,5,24
Codec_1,No,11,40
Lang_41,No,32,40
Codec_4,No,20,40
Closure_164,No,12,29
Closure_141,No,18,40
Lang_33,No,13,40
Closure_61,No,14,36
Csv_1,No,12,40
Math_97,No,26,40
Closure_152,No,9,40
Lang_50,No,20,40
Closure_24,No,15,40
Closure_131,No,14,40
Math_79,No,0,1
Closure_93,No,4,40
Chart_18,No,20,40
Lang_23,No,10,28
Closure_54,No,15,40
Closure_140,No,21,40
Closure_40,No,15,40
Closure_81,No,8,29
Closure_58,No,12,40
Csv_9,No,14,40
Chart_1,No,8,40
Closure_138,No,32,40
Math_55,No,18,40
Closure_3,No,12,40
Lang_6,No,1,10
Lang_44,No,9,40
Math_104,Yes,1,6
Math_85,No,23,40
Chart_22,No,14,40
Closure_149,No,20,40
Cli_31,No,21,40
Lang_7,No,18,40
Closure_157,No,5,29
Closure_44,No,15,40
Codec_16,No,17,40
Closure_71,No,9,40
Lang_19,No,0,6
Lang_2,No,3,40
Chart_19,No,10,33
Closure_173,No,18,40
Math_68,No,8,33
Closure_126,No,16,40
Cli_22,No,19,40
Math_58,No,8,40
Csv_5,No,6,40
Chart_13,Yes,1,5
Chart_10,No,10,40
Closure_65,No,7,20
Closure_82,No,12,40
Chart_25,No,13,39
Chart_26,No,13,40
Math_78,No,11,40
Closure_137,No,12,21
Closure_84,No,26,40
Lang_9,No,0,16
Cli_35,No,10,40
Closure_73,No,9,40
Cli_15,No,29,40
Math_80,No,12,40
Closure_66,No,7,40
Codec_9,No,13,40
Closure_10,No,7,40
Closure_106,No,11,40
Chart_4,No,12,40
Closure_89,No,6,17
Closure_133,No,11,40
Lang_29,Yes,1,8
Chart_5,No,17,38
Closure_48,No,9,40
Math_69,Yes,10,38
Closure_21,No,22,40
Closure_46,Yes,3,10
Cli_21,No,9,40
Closure_97,Yes,2,9
Closure_127,No,10,40
Cli_30,No,13,40
Closure_12,No,6,40
Math_82,Yes,4,14
Chart_2,No,6,40
Cli_32,No,32,40
Closure_69,No,12,40
Math_81,No,10,33
Cli_20,No,15,40
Cli_36,No,20,40
Lang_17,No,16,40
Closure_102,No,10,40
Codec_13,No,16,40
Closure_5,No,11,40
Csv_14,No,7,40
Closure_67,No,12,27
Lang_5,No,30,40
Closure_68,No,21,40
Closure_169,No,19,40
Chart_24,No,17,40
Cli_11,Yes,4,9
Closure_41,No,14,40
Math_88,No,25,40
Closure_19,No,11,30
Closure_92,No,18,40
Chart_15,No,18,40
Closure_124,No,9,40
Closure_154,No,21,40
Cli_10,No,7,40
Lang_30,No,17,27
Closure_117,No,28,40
Lang_24,No,10,40
Closure_6,Yes,24,40
Closure_148,No,8,30
Closure_28,No,0,3
Cli_19,No,16,38
Closure_55,No,10,40
Lang_45,No,10,40
Chart_6,No,8,40
Math_75,No,11,40
Lang_25,No,0,21
Codec_12,No,10,40
Closure_151,No,13,36
Cli_4,No,20,40
Lang_39,No,12,40
Closure_43,No,16,40
Csv_4,No,8,40
Cli_5,No,15,40
Lang_4,No,18,40
Lang_38,No,16,40
Cli_37,No,19,40
Closure_99,No,10,40
Closure_114,No,0,1
Math_101,Yes,3,11
Cli_2,No,6,40
Math_93,No,18,26
Closure_147,No,0,1
Math_86,No,19,40
Math_95,No,12,40
Math_60,No,0,1
Closure_33,No,12,28
Cli_34,No,12,40
Closure_105,No,13,40
Closure_74,No,16,40
Closure_64,No,17,40
Codec_7,Yes,9,35
Math_106,No,18,40
Closure_103,No,16,40
Lang_10,No,23,40
Lang_37,No,7,40
Closure_9,No,17,40
Math_54,No,14,40
Lang_3,No,23,40
Math_83,No,13,40
Closure_123,No,10,40
Math_98,No,10,40
Math_103,No,10,40
Cli_17,No,15,40
Closure_121,No,10,40
Lang_13,No,3,27
Codec_14,No,22,40
Cli_27,No,13,40
Closure_37,No,11,40
Closure_77,No,11,40
Csv_12,No,9,40
Closure_23,No,5,18
Closure_59,No,11,40
Closure_75,No,9,23
Math_53,No,13,40
Closure_90,No,10,40
Cli_7,No,15,40
Closure_156,No,23,38
Lang_36,No,7,40
Lang_12,No,11,40
Closure_53,No,9,40
Closure_20,No,14,40
Closure_88,No,13,40
Csv_10,No,8,40
Csv_15,No,5,40
Closure_113,No,19,40
Lang_15,No,16,40
Lang_14,No,14,40
Closure_134,No,22,40
Closure_51,No,21,40
Closure_136,No,14,26
Closure_110,No,21,40
Math_65,No,22,40
Closure_94,No,11,40
Closure_100,No,9,40
Closure_30,No,8,31
Csv_8,No,34,40
Closure_17,No,14,40
Closure_109,No,15,32
Cli_16,No,13,40
Closure_150,No,21,40
Lang_26,No,8,40
Lang_31,No,17,40
Chart_20,Yes,1,6
Closure_45,No,14,40
Closure_22,No,25,40
Closure_139,No,11,40
Codec_5,No,6,26
Closure_132,No,15,40
Closure_86,Yes,5,15
Closure_145,No,5,40
Closure_153,No,16,40
Closure_159,No,13,40
Closure_112,No,18,40
Closure_4,No,8,40
Math_105,Yes,7,18
Closure_160,No,17,40
Math_100,No,17,40
Cli_6,No,0,12
Math_92,No,29,40
Closure_42,No,11,40
Closure_101,No,6,40
