Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,15,40
Closure_171,No,20,40
Closure_174,No,12,40
Closure_57,No,6,40
Closure_107,No,16,40
Csv_16,No,19,40
Chart_16,No,12,40
Closure_118,No,4,16
Codec_2,No,12,40
Cli_33,No,17,40
Codec_15,No,32,40
Cli_26,No,28,40
Csv_11,Yes,1,6
Closure_155,No,3,10
Csv_2,No,19,40
Closure_76,No,22,39
Csv_7,No,6,40
Closure_167,No,20,40
Closure_56,No,15,40
Closure_165,No,17,40
Lang_8,No,12,40
Cli_28,No,18,40
Cli_3,No,15,40
Closure_98,No,0,7
Codec_11,No,28,40
Closure_31,No,2,14
Closure_7,No,18,40
Closure_80,No,8,40
Closure_27,No,9,16
Closure_47,No,9,40
Closure_162,No,15,40
Closure_26,No,8,18
Closure_83,No,4,40
Closure_96,No,11,40
Cli_9,No,15,40
Closure_70,No,8,40
Closure_91,No,9,40
Closure_39,No,13,40
Closure_14,No,8,40
Closure_52,No,17,31
Closure_158,No,19,32
Cli_38,No,19,40
Closure_29,No,0,5
Closure_35,No,31,40
Closure_129,No,9,18
Chart_11,No,10,40
Closure_120,No,6,37
Codec_6,No,17,40
Lang_1,No,12,40
Closure_36,No,10,40
Csv_6,No,9,40
Closure_130,No,24,40
Codec_18,No,7,40
Closure_170,No,30,40
Closure_1,No,6,36
Cli_29,No,23,40
Chart_9,No,10,40
Closure_38,No,12,40
Chart_21,No,15,40
Codec_8,No,25,40
Cli_12,No,11,40
Closure_16,No,14,40
Closure_78,No,19,40
Chart_8,No,10,40
Closure_79,No,13,40
Math_102,No,21,40
Closure_18,No,11,40
Closure_49,No,0,1
Chart_14,No,12,40
Cli_39,No,9,40
Closure_34,No,10,40
Closure_8,No,13,40
Closure_111,No,13,40
Closure_108,No,14,40
Cli_23,No,20,40
Closure_125,No,11,40
Cli_1,No,27,40
Closure_144,No,0,1
Closure_163,No,0,3
Chart_23,No,9,40
Closure_116,No,13,32
Closure_168,Yes,4,18
Chart_3,No,6,40
