Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,22,40
Math_77,Yes,3,9
Compress_11,No,17,40
Closure_171,No,15,40
Compress_30,No,7,40
Closure_174,No,14,37
Compress_45,No,15,40
Closure_57,No,9,40
Lang_20,Yes,2,8
Closure_107,No,20,40
Csv_16,No,14,40
Chart_16,No,11,40
Lang_61,No,20,40
Closure_118,No,6,31
Codec_2,No,11,40
Math_70,No,14,40
Math_12,No,11,40
Lang_27,No,11,40
Cli_33,No,27,40
Codec_15,No,23,40
Math_30,No,15,40
Cli_26,No,25,40
Csv_11,Yes,2,7
Lang_34,No,10,31
Math_87,No,8,24
Closure_155,No,0,12
Csv_2,No,6,40
Math_19,No,2,30
Lang_32,No,18,40
Lang_16,Yes,6,13
Closure_76,No,18,40
Lang_22,Yes,5,10
Math_76,No,7,21
Compress_33,No,19,40
Compress_12,No,13,40
Csv_7,No,11,40
Closure_167,No,12,40
Closure_56,No,8,40
Closure_165,No,6,40
Lang_8,No,16,40
Cli_28,No,21,40
Cli_3,No,20,40
Closure_98,No,12,39
Lang_40,No,10,40
Codec_11,No,16,40
Closure_31,Yes,5,23
Closure_7,Yes,4,15
Math_31,No,19,31
Closure_80,No,6,40
Closure_27,No,0,6
Closure_47,No,12,40
Math_64,No,10,34
Closure_162,No,17,40
Closure_26,No,3,8
Compress_6,No,20,40
Closure_83,No,15,40
Closure_96,No,16,40
Cli_9,No,29,40
Closure_70,No,7,40
Math_17,No,15,40
Closure_91,No,8,40
Closure_39,No,13,40
Closure_14,No,9,40
Closure_52,No,18,40
Closure_158,No,24,40
Lang_47,No,14,40
Cli_38,No,17,40
Lang_18,No,4,40
Closure_29,No,3,8
Closure_35,No,30,40
Math_3,No,10,35
Closure_129,No,8,32
Math_63,No,11,40
Chart_11,Yes,1,6
Closure_120,No,1,5
Codec_6,No,22,40
Lang_1,No,16,40
Closure_36,No,8,40
Math_4,No,22,40
Math_66,No,26,33
Compress_31,No,12,40
Csv_6,No,8,40
Closure_130,No,10,40
Codec_18,No,10,40
Closure_170,No,14,40
Closure_1,No,9,40
Math_5,No,4,18
Math_46,Yes,2,6
Cli_29,No,18,40
Lang_57,No,25,40
Chart_9,No,27,40
Math_61,No,25,40
Lang_62,No,22,40
Closure_38,No,15,40
Lang_49,No,11,40
Chart_21,No,11,40
Codec_8,No,24,40
Lang_21,Yes,3,8
Compress_41,No,12,40
Cli_12,No,6,40
Closure_16,No,10,40
Closure_78,Yes,15,40
Chart_8,No,9,40
Closure_79,No,10,40
Math_102,No,6,40
Closure_18,Yes,4,22
Closure_49,No,0,1
Math_59,No,8,40
Chart_14,No,20,40
Compress_17,No,7,40
Math_73,No,7,40
Math_51,No,13,40
Lang_35,No,17,40
Cli_39,No,6,40
Math_56,No,17,40
Compress_39,No,12,40
Closure_34,No,18,40
Closure_8,No,16,40
Compress_34,No,13,27
Closure_111,No,7,36
Closure_108,No,9,40
Cli_23,No,18,40
Math_91,No,21,37
Math_96,No,18,40
Closure_125,No,11,40
Math_62,No,26,40
Compress_32,No,10,40
Math_26,No,23,40
Cli_1,No,23,40
Lang_52,No,6,40
Closure_144,No,0,1
Closure_163,No,0,5
Chart_23,No,5,40
Closure_116,No,17,34
Math_72,No,19,40
Compress_46,No,15,40
Math_9,No,8,25
Math_37,No,22,40
Closure_168,Yes,8,18
Math_22,Yes,6,12
Chart_3,No,14,40
Closure_142,No,11,40
Chart_17,Yes,1,6
Closure_85,No,30,40
Math_38,No,16,40
Lang_42,No,2,16
Math_41,No,12,40
Closure_104,No,8,40
Lang_48,No,7,40
_,No,0,654
Csv_3,No,8,40
Closure_11,No,13,40
Closure_63,No,0,40
Compress_29,No,22,40
Closure_87,No,28,40
Lang_28,No,14,40
Math_16,No,26,40
Closure_172,No,8,40
Compress_28,No,26,40
Math_90,No,11,40
Chart_12,No,8,40
Codec_17,Yes,2,10
Closure_62,Yes,1,6
Closure_143,No,23,40
Closure_72,No,25,40
Math_52,No,5,40
Closure_146,No,10,33
Math_67,No,19,40
Compress_44,No,11,40
Cli_24,No,8,40
Cli_13,No,5,40
Closure_50,No,15,40
Compress_3,No,15,34
Lang_46,No,23,40
Closure_60,No,2,10
Closure_95,No,7,40
Closure_161,No,14,40
Closure_122,No,9,40
Csv_13,No,14,40
Math_49,No,20,40
Closure_115,No,26,40
Math_89,No,0,6
Closure_25,No,16,40
Compress_7,No,6,40
Lang_56,No,12,40
Closure_166,No,6,40
Codec_10,No,16,40
Cli_14,No,19,40
Compress_27,No,3,40
Closure_128,No,13,40
Closure_119,No,9,39
Cli_18,No,24,40
Closure_135,No,22,40
Closure_2,No,6,40
Closure_15,No,8,40
Codec_1,No,16,40
Lang_41,No,30,40
Codec_4,No,23,40
Closure_164,No,16,36
Closure_141,No,20,40
Lang_33,Yes,4,11
Closure_61,No,10,29
Csv_1,No,10,40
Math_97,No,13,40
Math_47,No,16,40
Closure_152,Yes,2,9
Lang_50,No,21,40
Closure_24,No,16,40
Compress_9,No,6,40
Closure_131,No,18,40
Math_79,No,0,3
Math_44,No,13,40
Closure_93,No,2,40
Chart_18,No,19,40
Lang_23,No,9,29
Closure_54,No,17,40
Closure_140,No,25,40
Closure_40,Yes,4,10
Closure_81,No,0,1
Closure_58,No,12,40
Csv_9,No,9,34
Chart_1,No,6,40
Closure_138,No,19,40
Math_55,No,28,40
Math_14,No,16,40
Closure_3,No,10,29
Lang_6,No,1,9
Lang_44,No,21,40
Math_104,Yes,1,7
Compress_16,No,13,40
Math_85,No,13,40
Chart_22,No,20,40
Compress_4,No,8,40
Closure_149,No,22,40
Cli_31,No,10,40
Lang_7,No,27,40
Closure_157,No,23,35
Closure_44,No,16,40
Codec_16,No,10,40
Closure_71,No,22,40
Lang_19,No,18,40
Lang_2,No,3,40
Codec_3,Yes,3,9
Chart_19,No,11,40
Closure_173,No,19,40
Math_68,No,14,40
Closure_126,No,16,40
Cli_22,No,18,40
Math_58,No,13,37
Csv_5,No,13,40
Chart_13,Yes,2,7
Compress_10,No,16,40
Compress_40,No,12,40
Chart_10,No,23,40
Closure_65,No,15,40
Closure_82,No,7,40
Chart_25,No,8,40
Math_43,No,22,40
Math_25,No,14,40
Chart_26,No,12,40
Math_78,No,0,6
Compress_24,No,35,40
Closure_137,No,17,39
